DATE,ALLSKY_KT,T2M,TS,PRECTOTCORR,PS,WS10M
1/1/2024,0.51,20.89,20.71,0.03,88.12,0.83
2/1/2024,0.41,20.33,20.36,8.74E-71,88.05,0.59
3/1/2024,0.49,20.34,20.37,0.309999998,87.88,0.73
4/1/2024,0.6,19.59,19.59,0.06,87.89,0.72
5/1/2024,0.52,18.73,18.78,4.219999983,87.94,0.8
6/1/2024,0.63,20.21,20.29,0.870000003,87.89,0.62
7/1/2024,0.63,20.79,20.71,3.36E-70,87.82,0.83
8/1/2024,0.51,20.06,20.05,0.790000004,87.84,0.84
9/1/2024,0.58,20.2,19.99,0.489999999,87.87,0.84
10/1/2024,0.57,20.44,20.21,-1.13E-81,87.87,0.95
11/1/2024,0.48,19.84,19.83,-2.64E-71,87.79,0.91
12/1/2024,0.55,18.9,18.94,7.260000011,87.72,1.05
13/01/2024,0.58,19.84,19.87,8.919999987,87.8,1.16
14/01/2024,0.6,20.07,19.92,2.720000007,87.84,0.88
15/01/2024,0.56,20.12,20.01,0.429999999,87.86,0.84
16/01/2024,0.63,20.11,19.64,0.720000002,87.93,0.97
17/01/2024,0.57,19.43,18.42,0.01,87.88,1
18/01/2024,0.6,19.14,18.8,26.34999999,87.91,1.05
19/01/2024,0.58,19.55,19.49,43.44999995,87.94,1.21
20/01/2024,0.52,19.28,19.3,6.140000008,88.03,1.1
21/01/2024,0.38,19.33,19.4,24.48999999,87.99,0.81
22/01/2024,0.28,18.04,18.09,3.680000005,87.94,0.99
23/01/2024,0.4,18.44,18.49,34.77000011,87.92,1.28
24/01/2024,0.54,19.19,19.19,16.42999999,87.85,0.78
25/01/2024,0.4,20,19.69,0.01,87.84,0.66
26/01/2024,0.55,20.63,20.45,0.140000001,87.83,0.64
27/01/2024,0.3,18.48,18.47,38.41999997,87.86,0.75
28/01/2024,0.45,19.31,19.42,12.73000001,88.01,0.64
29/01/2024,0.4,18.61,18.51,0.01,87.89,0.73
30/01/2024,0.55,18.44,18.47,-6.50E-72,87.86,0.7
31/01/2024,0.56,18.51,18.58,0.02,87.87,0.58
1/2/2024,0.52,18.66,18.66,21.03000003,87.96,0.66
2/2/2024,0.55,18.23,18.27,0.560000004,88,0.7
3/2/2024,0.45,19.32,19.35,0.02,87.9,0.95
4/2/2024,0.52,18.23,18.12,1.98E-71,87.88,0.87
5/2/2024,0.46,18.44,18.43,11.77000001,87.91,0.76
6/2/2024,0.67,18.98,18.8,13.79999998,87.99,0.7
7/2/2024,0.67,18.83,18.79,0.720000002,88.04,1.08
8/2/2024,0.61,17.44,17.5,5.32E-72,87.98,1.08
9/2/2024,0.56,17.33,17.14,13.21000005,87.95,1.11
10/2/2024,0.59,19.29,18.54,2.669999988,87.95,0.81
11/2/2024,0.48,19.95,19.81,0.09,87.98,0.84
12/2/2024,0.28,19.2,19.17,36.78000007,87.97,1.09
13/02/2024,0.38,18.12,18.12,11.68999997,87.94,1.47
14/02/2024,0.56,17.98,17.83,5.65000003,88.03,1.05
15/02/2024,0.64,18.54,18.53,5.320000033,88.04,0.91
16/02/2024,0.55,18.26,18.33,0.050000001,88.07,1.320000001
17/02/2024,0.45,17.94,17.99,0.569999995,88.06,1.860000001
18/02/2024,0.67,18.65,18.67,1.199999993,87.99,1.64
19/02/2024,0.56,18.74,18.73,0.01,87.97,1.299999999
20/02/2024,0.44,18.73,18.78,0.06,88.03,1.299999999
21/02/2024,0.41,19.19,19.24,3.070000006,88.06,1.51
22/02/2024,0.47,19.2,19.25,0.680000004,87.99,1.65
23/02/2024,0.45,18.27,18.32,1.43E-69,87.88,1.779999999
24/02/2024,0.57,18.51,18.57,6.749999984,87.83,1.23
25/02/2024,0.6,18.48,18.49,4.41000003,87.88,1.05
26/02/2024,0.65,19.37,19.39,22.39999994,87.84,0.95
27/02/2024,0.53,19.05,19.02,22.83999991,87.81,0.91
28/02/2024,0.59,18.79,18.83,6.17E-71,87.77,1.05
29/02/2024,0.41,18.71,18.74,4.829999988,87.85,1.05
1/3/2024,0.41,19.51,19.42,0.239999999,87.87,1.09
2/3/2024,0.32,19.53,19.51,-5.60E-72,87.86,1.12
3/3/2024,0.36,18.89,18.93,-1.01E-71,87.85,1.409999999
4/3/2024,0.32,18.13,18.05,9.199999969,87.9,1.23
5/3/2024,0.4,18.73,18.72,0.86,88.04,0.94
6/3/2024,0.58,18.84,18.58,0.02,88.07,0.97
7/3/2024,0.53,18.73,18.24,0.02,87.96,1.179999999
8/3/2024,0.62,19.18,19.1,0.01,87.86,1.02
9/3/2024,0.66,19.68,19.7,21.67999999,87.87,0.99
10/3/2024,0.55,19.8,19.87,7.590000032,87.97,1.19
11/3/2024,0.49,19.46,19.52,9.69,88.03,1.449999999
12/3/2024,0.38,18.75,18.79,0.309999998,87.99,1.449999999
13/03/2024,0.37,18.66,18.6,3.39E-73,87.86,1.23
14/03/2024,0.37,18.58,18.64,12.54000003,87.86,1.34
15/03/2024,0.45,18.12,18.19,1.310000009,87.94,1.13
16/03/2024,0.49,18.07,18.14,4.689999983,88.06,1.55
17/03/2024,0.49,18.08,18.16,0.249999998,87.98,1.58
18/03/2024,0.46,18.72,18.78,2.19E-71,87.94,1.58
19/03/2024,0.41,18.8,18.85,4.97E-73,87.93,1.21
20/03/2024,0.58,19.03,18.95,0.04,87.95,0.97
21/03/2024,0.52,19.73,19.05,0.700000003,87.92,0.82
22/03/2024,0.53,19.08,19.14,0.920000002,87.83,1.38
23/03/2024,0.48,18.71,18.76,0.12,87.68,1.299999999
